P,q
0.015443574,0.00489612
0.059505025,0.019833958
0.090652052,0.030414592
0.129265112,0.042424597
0.151994902,0.050334505
0.167182306,0.055694294
0.206301468,0.067090578
0.245506296,0.079041461
0.284138397,0.090562363
0.321921833,0.102396957
0.36126758,0.114435662
0.399845608,0.126591041
0.438535322,0.138342101
0.477345875,0.149806231
0.515901363,0.161656674
0.554586234,0.172964073
0.593084761,0.18455741
0.63182399,0.196146541
0.67026645,0.207001245
0.708635349,0.218759342
0.747698119,0.229114465
0.786150995,0.240082569
0.824765641,0.251897302
0.863293543,0.262931587
0.901650561,0.273805341
0.94056808,0.285188351
0.979307065,0.296995357
1.013532995,0.307466008
1.056194752,0.320026846
1.094830474,0.33166644
1.133372942,0.343415791
