P,q
0.012964675,1.310378261
0.031542998,1.824737389
0.05589104,2.18507082
0.079685175,2.384440139
0.102921546,2.522437453
0.129114082,2.639721186
0.152178307,2.719779324
0.166729513,2.764225293
0.206129688,2.859211648
0.244632284,2.931064108
0.283819352,2.996390161
0.322716323,3.046666404
0.361091203,3.093557691
0.399942727,3.134688898
0.438637771,3.172329583
0.477242001,3.207188014
0.515761888,3.235377585
0.554038103,3.263699435
0.592920386,3.288998557
0.631466882,3.311873775
0.670176492,3.334898969
0.708798665,3.356643532
0.747352119,3.376440562
0.785938854,3.392599499
0.824349578,3.408706704
0.862957878,3.424637273
0.901704186,3.442695435
0.940418759,3.456919752
0.978860243,3.470737826
1.01334486,3.48512404
1.056134128,3.495548137
1.094503515,3.507811244
1.133188061,3.521816592
