P,q
0.015368512,0.011207424
0.059350374,0.042180945
0.090629837,0.062561212
0.129206828,0.086895476
0.151956453,0.101172583
0.166656908,0.110892196
0.206998228,0.134142816
0.244649006,0.156789563
0.283277913,0.17913466
0.322672422,0.200864527
0.360305867,0.221646728
0.399946796,0.243394046
0.438447886,0.263720834
0.477223204,0.285340172
0.515921543,0.30499284
0.554268308,0.324706124
0.592974662,0.344540275
0.631741477,0.366018965
0.670323086,0.385412704
0.708827797,0.402967891
0.74723429,0.422384099
0.786018844,0.441947191
0.824675561,0.461234081
0.863177505,0.478698801
0.901790198,0.496808933
0.940618857,0.516533372
0.979268087,0.532889503
1.013430627,0.550532236
1.056353674,0.570640731
1.09485456,0.587878841
1.133427299,0.607036777
