P,q
0.014780193,0.300422664
0.034723374,0.499726899
0.057230086,0.669014451
0.071268777,0.754571273
0.090916445,0.857465626
0.101496564,0.90741963
0.129019089,1.022581173
0.151856323,1.102219975
0.166298285,1.149146056
0.207161423,1.255538856
0.245152789,1.33999453
0.283923896,1.414912613
0.322792001,1.480969216
0.361334794,1.540582473
0.399849514,1.588763514
0.438409315,1.63273193
0.476973672,1.673354378
0.51565358,1.711546875
0.554429224,1.741692606
0.592943293,1.770024955
0.631534463,1.794870603
0.669957516,1.818523805
0.708632663,1.839913411
0.747110521,1.860579197
0.785984911,1.878526775
0.824556511,1.897998547
0.863161474,1.915079941
0.901617035,1.93192687
0.94033763,1.947907029
0.978871961,1.964103553
1.013338513,1.974155731
1.05603526,1.987911409
1.09465251,1.999704848
1.133262844,2.010363737
