tad_pu,tbl_rp,pr_bl,rec_bl
30,30,0.5408227816211767,1.5344495718311908
130,30,0.5339236210087669,0.3393395488428161
30,30,0.5408227816211767,1.5344495718311908
130,30,0.5339236210087669,0.3393395488428161
230,30,0.5325511312098075,0.1917204849434939
330,30,0.5318947886751421,0.13358909727540583
430,30,0.5315081733886312,0.10246836639807917
530,30,0.5312598673389054,0.08308085291083299
630,30,0.5310450315487427,0.06984161228878487
730,30,0.5308687931076896,0.06022915711652726
830,30,0.5307030496529926,0.05293302091776953
930,30,0.5305952153636644,0.04721076612268354
30,130,0.5273449833760118,3.473636026880154
130,130,0.5172519897889905,0.847993493781703
230,130,0.5160709831529448,0.5031024435226076
330,130,0.5155992065371795,0.3593024056824174
430,130,0.5153193798434076,0.27929493693105684
530,130,0.5151137458648379,0.22815075074849633
630,130,0.515025955852069,0.19263887046282616
730,130,0.5149849267180083,0.16656062402478344
830,130,0.514959757690154,0.14661566570692555
930,130,0.5150003525973924,0.13089403069495925
30,230,0.5255147686343004,5.330119983006326
130,230,0.511430303069447,1.2646344386378305
230,230,0.5104442609245953,0.7543475469536393
330,230,0.5104339536043392,0.5420653491047076
430,230,0.5105707354218494,0.4231743598106581
530,230,0.5107479133390742,0.3466397430182106
630,230,0.510942619624413,0.29317986254341344
730,230,0.5111416648344549,0.2537520228356322
830,230,0.511387911519507,0.22352329855711053
930,230,0.5116816989032247,0.19965046692027885
30,330,0.5266901732538086,7.33368322653706
130,330,0.5079371066783049,1.6659042939136497
230,330,0.5067534515995078,0.9845011621378884
330,330,0.5070620705754384,0.7054936670615559
430,330,0.5075497696131542,0.5502757350868245
530,330,0.5080554495718849,0.4506250450859996
630,330,0.5085858779781716,0.3811024909043964
730,330,0.5090945945968044,0.32986166688677626
830,330,0.5096281055184605,0.2905899460631822
930,330,0.5101445349897522,0.25957002251440675
30,430,0.528601338909407,9.430950610424574
130,430,0.505264563789497,2.0546313263072515
230,430,0.503770686470809,1.1983036511968739
330,430,0.504262125265094,0.8535619181830761
430,430,0.5050505226378158,0.663705341947911
530,430,0.5058729647966819,0.54260525430086
630,430,0.506670626046271,0.4584666074125538
730,430,0.5074650144315023,0.396625876402805
830,430,0.5082643677625794,0.3493195627452345
930,430,0.5090878711115436,0.31202573954463775
30,530,0.5305408748870742,11.557710908347177
130,530,0.5029822782540048,2.4263628805809034
230,530,0.5011837175342653,1.3962994531273458
330,530,0.5018347549959631,0.987820055303246
430,530,0.5028603741574488,0.7652279308856095
530,530,0.5039328976304238,0.6242702683031818
630,530,0.5050270907861586,0.5268095085897542
730,530,0.5060804915771172,0.45543986467123715
830,530,0.5070836788716564,0.40096848324218193
930,530,0.5081358532310246,0.35810461611662237
30,630,0.5322595572205902,13.653272179564922
130,630,0.5009362043017228,2.776089766564367
230,630,0.4988702766832162,1.5782214520179807
330,630,0.499648418967239,1.1092870319784789
430,630,0.5009012237441808,0.8561078771345354
530,630,0.5022167459955575,0.6968931764698185
630,630,0.5035204665238463,0.5873614363529283
730,630,0.5047961751457363,0.507421596778511
830,630,0.5060561752994517,0.4465745834183711
930,630,0.5072722101509991,0.39876207036709804
30,730,0.5336871336730944,15.667492920501338
130,730,0.49905625408222637,3.10019217944645
230,730,0.496762462172465,1.7440913175752064
330,730,0.49766721611923487,1.2188402249386445
430,730,0.49912202987629567,0.9374708766129147
530,730,0.5006708585496512,0.7615697676237306
630,730,0.5021613075078083,0.6411550970420039
730,730,0.5036318050345137,0.5535278547320243
830,730,0.5050769917729312,0.4869820652754973
930,730,0.5064767912855961,0.4347835551993745
30,830,0.5348418149010359,17.563844353805464
130,830,0.4972993191985128,3.396877626928131
230,830,0.4948344093733178,1.8943223147752388
330,830,0.49588573206360476,1.3172271111011074
430,830,0.49753082687539735,1.0102052336636287
530,830,0.4992555467843467,0.8192961726179564
630,830,0.500953817267992,0.6890438536512808
730,830,0.5025742908568315,0.5945601802367682
830,830,0.5041821813356849,0.5229290018630516
930,830,0.5057428324530584,0.4668270682257809
30,930,0.5357396453525001,19.319043127795307
130,930,0.4956631589510458,3.665703466813987
230,930,0.4930823556930223,2.0294737569213077
330,930,0.49427137281046984,1.4054541414643864
430,930,0.49608248445296604,1.0753546741526319
530,930,0.49797944234338837,0.870894093400539
630,930,0.4998390309166441,0.7318344333833319
730,930,0.5016426462523325,0.6311825426474642
830,930,0.5033648553400715,0.5550273294660876
930,930,0.5050663658011183,0.4954448649480484
