P,q
0.015061372,0.02363337
0.059001455,0.082622433
0.090972114,0.123333949
0.129723183,0.169249094
0.151358398,0.194954303
0.167119099,0.214200367
0.206593436,0.257409887
0.245430191,0.298662067
0.283970991,0.338232152
0.322763947,0.377143872
0.361329342,0.415218292
0.400018852,0.452206513
0.438587726,0.488005371
0.477294609,0.524281323
0.51586682,0.559138891
0.554511004,0.593747472
0.593047573,0.62746843
0.631504762,0.66074084
0.670331427,0.693160046
0.70889908,0.725963079
0.747503392,0.759229092
0.785956349,0.791379125
0.824663599,0.823111482
0.863299158,0.85520888
0.901805659,0.886193158
0.940535042,0.917965669
0.979090123,0.949361576
1.013723979,0.97863765
1.056379063,1.012498035
1.094955545,1.043374027
1.133655633,1.073789962
