P,q
0.01425063,0.565916795
0.033475326,0.895350785
0.056713828,1.171406121
0.070315303,1.298264081
0.090670819,1.459187042
0.101116285,1.533168196
0.129546654,1.701671156
0.152305097,1.814761744
0.166846203,1.881353322
0.206927474,2.030527692
0.245309026,2.151850498
0.283884288,2.255043186
0.322612593,2.347560714
0.361327634,2.426798696
0.399784415,2.494760737
0.438287743,2.562471308
0.477182884,2.616468577
0.515416173,2.67271478
0.554195072,2.723442661
0.592926693,2.772434107
0.631631826,2.814976654
0.670069526,2.856984478
0.70880664,2.894625624
0.747144616,2.932145041
0.785941377,2.962862009
0.824464234,2.991475198
0.863022976,3.021889838
0.901800126,3.049770447
0.940257233,3.077794666
0.978828751,3.103048244
1.013318251,3.125496175
1.056050965,3.154399785
1.094562348,3.194301964
1.133584676,3.222567549
