P,q
0.014899811,0.043816319
0.05859475,0.151370526
0.090816691,0.225193542
0.129694703,0.305941402
0.151870482,0.35064524
0.166540869,0.381031075
0.206239441,0.45192876
0.245264922,0.520142086
0.284038084,0.585917698
0.322606632,0.650110639
0.360439361,0.711454528
0.400065927,0.772824773
0.438535729,0.831755023
0.477269221,0.889482601
0.515565778,0.946876145
0.55422282,1.001191996
0.592952285,1.052767831
0.631448044,1.105265967
0.670229181,1.157673996
0.708844722,1.21126338
0.747536348,1.265843268
0.785928194,1.315076369
0.824634386,1.363794554
0.863050888,1.413507502
0.901569595,1.464149633
0.940650837,1.513076858
0.978956996,1.561782554
1.013342419,1.608912999
1.056221361,1.660923951
1.094663658,1.70876697
1.133323467,1.759133041
