P,q
0.013644574,0.116804023
0.036452517,0.216142653
0.058617286,0.288546298
0.07135045,0.321392558
0.090687327,0.36861079
0.101271149,0.393046626
0.129091756,0.451763978
0.152364307,0.493595363
0.166453301,0.518841512
0.206689579,0.583171606
0.24540106,0.638142406
0.283799619,0.688103101
0.322723484,0.732745142
0.361138847,0.773301508
0.399846341,0.809707022
0.438318502,0.844172483
0.476935956,0.87290867
0.51542366,0.899973526
0.554174444,0.925467237
0.592873515,0.948698007
0.631389415,0.970817276
0.670074571,0.990331859
0.708637546,1.008677772
0.747133061,1.025728223
0.785806215,1.040988701
0.824488076,1.057344226
0.86320151,1.069231229
0.901511331,1.080082221
0.940252839,1.09140558
0.978787658,1.100639239
1.013269589,1.108196531
1.055994654,1.117150506
1.094595549,1.124029568
1.133171705,1.132733018
