tad_pu,tbl_rp,pr_bl,rec_bl
30,30,0.5408227816211767,1.5344495718311908
130,30,0.5339236210087669,0.3393395488428161
30,30,0.5408227816211767,1.5344495718311908
130,30,0.5339236210087669,0.3393395488428161
230,30,0.5325511312098075,0.1917204849434939
330,30,0.5318947886751421,0.13358909727540583
430,30,0.5315081733886312,0.10246836639807917
530,30,0.5312598673389054,0.08308085291083299
630,30,0.5310450315487427,0.06984161228878487
730,30,0.5308687931076896,0.06022915711652726
830,30,0.5307030496529926,0.05293302091776953
930,30,0.5305952153636644,0.04721076612268354
30,130,0.5273449833760118,3.473636026880154
130,130,0.5172519897889905,0.847993493781703
230,130,0.5160709831529448,0.5031024435226076
330,130,0.5155992065371795,0.3593024056824174
430,130,0.5153193798434076,0.27929493693105684
530,130,0.5151137458648379,0.22815075074849633
630,130,0.515025955852069,0.19263887046282616
730,130,0.5149849267180083,0.16656062402478344
830,130,0.514959757690154,0.14661566570692555
930,130,0.5150003525973924,0.13089403069495925
30,230,0.5255147686343004,5.330119983006326
130,230,0.511430303069447,1.2646344386378305
230,230,0.5104442609245953,0.7543475469536393
330,230,0.5104339536043392,0.5420653491047076
430,230,0.5105707354218494,0.4231743598106581
530,230,0.5107479133390742,0.3466397430182106
630,230,0.510942619624413,0.29317986254341344
730,230,0.5111416648344549,0.2537520228356322
